Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
40,0,2,1
23,0,12,2
56,0,0,1
44,0,2,0
34,2,1,1
47,0,2,0
33,1,0,0
43,2,0,0
41,1,4,0
39,1,2,1
40,1,0,0
27,1,2,1
40,2,3,0
31,1,1,1
42,1,1,1
40,1,2,0
40,0,1,0
29,0,11,1
30,1,4,0
26,1,0,0
43,0,0,0
37,1,2,1
33,1,1,0
31,2,8,2
47,2,1,1
40,2,0,1
39,0,1,0
30,0,2,1
33,2,2,0
28,3,2,1
25,0,3,0
29,1,1,1
33,5,10,5
25,0,1,1
31,0,1,0
37,2,1,0
39,1,1,0
35,1,0,0
33,3,0,1
28,3,0,1
48,0,1,0
34,1,0,0
35,1,1,0
38,2,2,0
38,2,1,1
32,1,1,0
33,2,2,0
41,1,0,2
36,0,4,0
32,0,2,1
40,1,1,1
29,10,1,0
47,3,4,0
45,2,0,1
28,12,0,2
41,2,1,0
42,2,2,0
36,9,4,1
39,0,2,0
47,0,2,0
40,1,1,1
38,0,0,0
42,1,3,0
40,2,1,0
35,0,1,0
35,0,0,0
34,0,7,1
41,0,2,0
39,1,0,0
30,5,7,6
33,3,1,1
34,2,0,2
38,0,2,1
37,0,5,2
28,2,2,0
47,3,1,0
38,1,4,0
47,1,2,1
34,1,2,0
46,2,1,0
31,1,2,1
41,2,2,4
40,0,8,0
28,5,2,2
47,2,2,0
35,1,1,2
16,4,4,5
42,3,3,0
49,0,0,1
34,2,0,0
54,1,3,2
32,0,1,0
43,0,1,2
34,2,0,0
36,1,2,1
40,1,2,1
36,2,0,0
43,2,1,1
27,2,0,3
34,0,0,0
48,0,0,0
34,1,1,1
37,1,0,0
28,1,0,0
39,3,1,0
37,1,6,1
23,2,1,1
34,3,4,1
34,3,0,0
31,0,2,0
45,0,2,1
27,0,9,1
38,2,0,0
33,1,1,0
39,1,3,0
45,1,1,1
28,10,0,1
33,0,1,0
25,8,7,6
34,3,2,1
37,0,0,1
45,1,1,0
32,0,2,0
27,4,0,0
28,0,1,0
40,3,2,0
38,3,0,0
30,0,0,0
43,4,0,1
27,0,2,1
43,2,1,1
33,2,2,0
38,2,2,0
19,1,6,4
34,0,1,0
33,1,0,1
34,2,1,0
34,0,1,0
40,0,1,0
42,2,3,1
30,2,1,1
44,0,0,0
34,0,2,0
43,1,1,0
27,1,2,0
35,1,2,0
36,7,0,0
25,2,0,0
24,4,0,1
41,0,1,0
48,1,2,0
33,2,2,2
41,0,2,1
41,3,1,1
45,3,0,0
27,8,0,0
38,0,2,0
29,2,1,2
30,0,1,1
50,2,3,0
40,1,2,0
38,0,4,1
34,2,2,0
30,2,4,3
26,0,5,1
40,3,0,2
40,0,1,0
27,7,4,4
36,2,0,0
39,1,1,0
42,2,0,1
36,0,1,0
35,0,0,0
33,2,1,0
43,0,2,0
35,1,0,3
35,0,3,1
31,4,2,2
34,0,0,1
31,5,1,1
24,6,4,2
33,0,0,2
41,0,2,0
34,0,1,1
38,1,2,0
40,1,0,0
41,2,2,0
37,2,3,0
30,2,4,0
32,0,2,1
32,8,2,0
29,0,6,1
33,0,2,0
39,1,5,0
32,1,3,1
22,2,5,5
36,0,0,0
28,11,1,0
30,2,2,1
32,2,1,0
39,1,1,1
35,1,7,1
32,1,2,0
18,3,4,2
44,2,3,0
28,0,5,2
23,1,1,2
