Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
32,1,4,0
43,2,2,0
41,2,1,0
40,6,0,0
31,3,3,0
27,2,0,0
46,1,1,0
44,1,2,1
36,2,2,0
36,4,1,0
37,0,0,0
37,0,1,0
39,3,3,0
43,1,0,0
20,0,10,0
35,2,1,1
45,1,5,3
42,0,1,1
47,2,1,0
44,1,5,0
33,1,1,0
17,0,10,0
41,2,3,0
53,3,3,0
35,6,1,0
40,0,0,0
26,0,1,0
42,0,4,0
35,1,2,0
29,1,1,0
30,2,1,0
33,1,3,0
35,2,6,0
36,0,2,0
39,0,0,0
34,0,1,0
34,1,3,0
52,3,1,0
25,1,0,0
41,1,0,0
53,2,1,0
43,0,1,0
29,0,3,0
32,0,0,0
39,0,5,0
35,2,3,0
36,0,8,0
31,1,0,0
41,1,1,0
33,2,2,0
54,1,2,0
26,2,2,0
36,0,3,0
26,1,1,0
45,0,2,0
41,3,3,0
42,1,1,0
36,1,1,0
48,2,1,0
51,0,2,0
36,0,3,0
47,3,0,0
24,0,8,0
38,2,0,0
50,1,1,0
35,0,1,0
41,0,1,0
41,6,4,0
41,0,1,0
45,2,3,0
36,2,3,0
41,0,0,0
46,0,1,0
33,1,4,0
46,0,1,0
38,1,2,0
33,0,0,0
39,3,2,0
29,1,0,0
23,0,8,2
36,1,0,0
42,4,3,0
39,0,2,0
45,3,1,1
40,1,3,0
33,1,1,0
28,2,4,0
39,2,1,0
36,3,1,0
36,1,0,0
37,2,1,0
38,1,2,0
34,0,0,0
32,0,1,0
28,2,1,0
50,0,1,0
36,2,2,0
31,1,1,0
31,5,3,0
40,0,2,0
28,1,1,0
30,0,2,1
26,2,12,1
39,2,0,1
27,4,2,0
45,1,1,1
35,0,1,0
45,2,8,0
32,1,0,0
31,0,4,0
42,0,1,0
13,1,3,2
38,0,2,0
46,1,3,0
33,3,3,0
42,1,0,0
37,1,1,0
33,1,1,0
26,1,1,0
30,0,1,0
43,0,1,0
37,3,2,0
32,2,2,0
42,1,1,0
29,4,0,0
35,0,0,0
36,0,15,0
37,0,3,0
37,1,2,0
48,0,0,0
37,2,1,0
38,2,0,0
28,4,1,0
41,2,2,0
32,0,1,0
34,0,0,0
43,2,0,0
37,2,3,0
41,1,1,0
20,3,7,0
38,1,5,0
35,2,0,0
37,0,0,0
44,4,2,1
44,2,1,0
22,1,7,0
42,1,1,0
36,1,0,0
30,3,10,0
41,0,3,0
38,0,2,0
49,0,0,0
21,1,14,2
31,0,9,0
23,0,3,0
36,0,0,0
29,4,2,0
30,3,0,0
40,4,0,0
41,2,1,0
33,3,0,0
42,0,0,0
31,1,0,0
33,0,8,1
43,2,0,0
34,2,1,0
45,3,2,0
31,0,2,0
32,1,2,0
28,2,0,0
38,1,0,0
43,0,0,0
34,1,1,0
38,1,1,0
51,1,2,0
43,1,1,0
44,3,0,0
24,4,5,0
38,3,4,0
40,2,2,0
35,0,2,0
40,0,1,0
32,2,2,0
30,4,1,0
34,0,1,0
39,0,1,0
37,2,1,0
49,3,0,0
37,4,2,0
50,4,2,0
40,0,0,0
48,1,1,0
41,0,3,0
31,0,1,0
23,1,4,0
36,0,3,0
34,2,1,0
36,1,0,0
26,2,0,0
45,1,2,0
39,1,2,0
32,0,2,0
40,2,2,0
40,1,1,0
42,0,4,0
45,0,2,0
40,2,1,0
43,3,3,0
37,0,0,0
34,1,0,0
34,0,4,0
34,1,0,0
36,2,1,0
41,1,1,0
33,3,1,0
32,1,8,0
39,3,0,0
33,1,0,0
30,2,1,0
42,1,1,0
38,1,0,0
26,0,1,0
36,2,6,0
19,1,7,0
23,3,2,0
49,0,1,1
41,0,2,0
38,1,2,0
38,1,2,1
40,0,2,0
39,0,0,0
37,0,4,0
36,2,3,0
39,1,2,0
37,6,2,0
35,0,0,0
35,1,1,0
39,4,0,0
37,1,2,1
31,0,9,0
25,1,1,0
34,2,2,0
32,0,3,0
34,1,1,0
33,2,1,0
35,2,1,0
48,0,3,0
45,4,1,0
34,2,1,0
42,1,4,0
33,1,2,1
31,2,13,0
44,3,4,0
42,2,5,0
31,2,1,1
32,2,4,0
33,1,3,0
40,1,1,0
31,1,3,0
42,0,1,0
35,2,4,0
34,1,0,0
34,3,2,0
51,2,4,0
37,0,1,0
26,1,1,0
25,4,8,0
47,1,0,0
30,1,1,0
43,0,0,0
32,3,18,1
29,0,1,0
39,2,3,0
36,0,1,0
46,0,2,0
32,0,5,0
39,1,0,0
36,1,1,0
45,1,1,0
40,0,1,0
34,0,2,0
34,1,2,0
39,2,1,0
41,4,2,0
36,1,1,0
39,2,1,0
36,1,2,0
28,1,1,0
32,0,5,0
30,0,2,0
44,2,1,0
46,2,1,0
50,0,1,0
35,0,1,0
24,2,0,0
45,2,1,0
31,0,2,0
35,1,1,0
39,3,0,0
29,4,6,0
32,0,3,0
34,1,1,1
47,2,1,0
36,1,1,0
45,1,2,0
43,0,2,0
33,1,5,0
34,1,1,0
46,1,2,0
43,0,1,0
28,3,0,0
30,1,2,0
39,0,4,0
49,0,1,0
31,7,1,0
47,0,1,0
30,2,6,0
47,0,0,0
34,1,2,0
42,0,2,0
42,0,0,0
31,1,1,0
40,2,0,1
26,1,1,0
37,1,2,0
37,0,4,0
34,2,1,0
34,0,1,0
35,3,1,0
31,2,1,1
48,2,1,0
45,2,2,0
39,4,0,0
36,2,2,0
29,3,0,1
36,3,0,0
30,1,0,0
41,1,0,0
40,0,1,0
34,2,3,0
41,0,2,0
44,0,2,1
33,1,1,0
36,4,2,0
29,2,1,0
43,1,2,0
46,2,4,0
32,2,3,1
48,1,1,0
33,3,0,1
36,1,3,0
28,1,6,1
32,1,3,0
33,0,0,0
36,1,0,0
37,2,1,0
41,3,1,0
36,0,1,0
36,0,2,0
41,2,1,0
34,0,1,0
38,0,2,0
28,2,3,0
34,0,10,0
26,2,3,0
28,1,0,0
39,0,3,0
34,1,3,0
23,0,1,1
38,1,1,0
36,0,0,0
32,3,1,0
35,0,1,1
37,0,2,0
36,4,0,0
37,3,5,0
40,0,0,0
42,0,2,0
34,1,1,0
26,2,3,0
30,2,1,0
34,0,3,0
39,2,0,0
25,1,3,0
43,1,0,0
48,0,3,0
38,1,0,1
44,0,1,0
43,1,0,0
42,2,2,0
40,2,1,0
35,0,4,0
33,0,1,0
34,0,0,0
41,2,0,0
43,1,4,0
44,0,1,0
40,1,1,0
39,1,0,0
41,1,2,0
44,2,2,0
37,1,1,0
29,0,1,0
28,1,8,0
37,0,0,0
31,2,1,0
35,0,2,0
43,0,5,0
34,3,3,0
46,1,4,0
30,3,4,0
35,2,2,0
36,0,0,0
42,1,1,0
43,2,2,1
42,1,2,0
41,4,5,0
34,4,1,2
41,2,1,0
35,2,1,0
36,0,0,0
42,0,2,0
36,1,2,0
42,1,1,0
26,4,1,0
25,2,1,0
27,5,1,0
25,3,2,0
33,2,3,0
37,1,3,0
39,2,0,0
39,6,0,0
30,0,0,0
45,0,2,0
37,1,1,0
37,1,1,0
33,0,2,0
34,0,3,0
31,0,1,0
42,2,3,0
39,0,2,0
39,0,1,0
44,4,0,0
34,3,2,0
43,1,2,0
37,0,2,0
22,0,11,0
31,0,0,0
30,1,1,0
43,0,1,0
43,2,3,0
51,0,1,0
40,0,8,0
36,1,1,0
34,0,2,0
40,0,1,0
40,0,1,0
45,1,1,0
36,1,0,0
38,3,2,0
39,1,1,0
27,0,1,0
30,0,2,0
38,0,3,0
48,0,1,0
40,1,1,0
34,3,2,0
28,1,4,1
39,0,3,0
41,0,2,0
47,1,1,0
29,0,0,0
27,1,1,0
30,0,1,0
32,0,1,0
43,4,0,0
43,3,2,0
38,4,2,0
33,2,0,0
40,1,3,0
37,2,0,0
38,0,2,0
27,0,9,0
36,1,3,0
40,1,1,0
38,0,2,0
38,2,5,0
36,3,0,0
30,0,8,0
42,1,0,0
26,1,3,0
40,1,0,1
43,1,1,0
25,2,1,0
47,0,3,0
34,0,1,0
51,2,1,0
41,2,7,0
38,2,0,0
31,1,4,0
35,2,1,0
32,1,1,0
30,1,1,0
33,7,1,0
27,1,1,0
42,5,2,0
34,1,0,0
34,1,0,0
30,0,9,0
27,1,1,0
51,2,1,0
35,0,2,1
33,5,3,0
34,0,2,0
43,0,0,0
32,0,2,0
28,2,3,0
31,0,2,0
37,0,2,0
40,0,1,0
32,0,6,0
43,2,0,0
34,3,1,0
34,0,2,0
42,4,1,0
42,0,0,0
37,1,8,0
37,2,2,0
45,2,0,0
43,0,2,0
37,3,1,0
49,1,4,0
43,0,1,0
38,3,3,0
33,0,1,0
27,0,4,1
40,0,6,1
34,0,1,0
34,1,2,0
29,1,1,0
24,1,13,0
24,2,2,1
49,4,0,0
48,1,0,0
33,1,2,0
47,1,4,0
37,0,0,0
34,1,7,0
33,1,6,1
44,2,1,0
39,4,5,0
38,0,11,0
41,1,1,0
34,0,0,0
30,4,1,0
41,0,4,0
39,3,2,0
31,0,4,0
37,0,2,0
34,3,0,0
29,0,1,0
35,2,2,0
45,1,1,0
29,1,4,1
29,1,2,0
30,0,0,0
39,0,2,0
33,2,1,0
31,4,2,0
22,0,0,0
27,1,0,0
36,0,1,0
32,1,6,0
37,1,2,0
