Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
31,4,3,2
35,0,1,0
36,2,2,2
30,1,1,0
19,11,1,1
32,1,0,0
25,1,1,0
42,2,2,0
40,2,1,0
33,1,1,1
40,1,1,0
30,1,1,1
41,1,2,1
32,1,4,0
25,0,1,0
27,9,3,2
39,0,2,0
19,17,0,1
34,1,0,0
37,2,2,0
36,1,0,0
31,2,4,0
36,2,2,1
31,1,3,1
55,0,6,0
36,4,3,0
29,5,2,0
40,1,1,1
41,4,2,0
37,4,4,1
22,1,17,0
22,1,17,1
30,1,1,0
36,1,1,0
45,2,0,1
41,0,2,0
28,2,5,0
38,0,0,0
37,1,2,0
43,1,2,0
27,3,1,0
32,4,0,0
32,1,2,0
37,2,2,0
38,1,0,0
45,0,0,0
31,0,1,0
34,1,3,0
33,3,1,0
22,1,1,0
35,2,0,0
30,12,0,1
42,1,1,0
35,2,2,0
28,2,0,0
9,1,26,1
30,1,2,1
19,2,12,0
39,1,2,0
31,1,1,0
36,0,3,0
36,2,2,0
38,1,2,0
40,0,2,1
46,0,1,0
24,16,3,0
39,1,1,1
50,1,3,1
31,1,1,1
47,1,1,2
29,1,1,1
37,3,2,0
31,1,1,0
42,1,1,0
31,1,1,0
24,3,2,0
40,1,3,0
35,3,2,0
31,3,0,0
33,1,4,1
37,3,1,0
40,2,4,0
44,2,1,0
35,0,4,0
35,1,1,0
35,1,3,0
31,2,1,0
42,0,1,0
29,1,3,0
27,1,2,1
44,3,6,0
35,2,3,0
47,5,1,0
37,3,3,0
33,2,0,0
38,0,2,0
34,4,2,0
39,2,1,0
10,14,9,9
28,1,1,1
41,3,3,0
31,0,2,1
24,1,2,1
49,6,3,0
48,2,0,0
32,0,2,0
38,1,1,0
32,2,3,0
36,1,2,1
32,1,1,0
31,0,6,2
31,0,2,1
39,1,0,0
38,2,0,0
38,1,2,0
49,1,5,0
40,1,3,0
32,2,0,1
35,3,0,0
30,1,4,1
10,1,30,0
34,0,4,0
37,3,4,1
33,1,1,0
20,3,9,3
42,2,2,1
50,1,0,1
34,2,1,0
32,1,0,0
35,0,2,0
30,3,2,1
35,0,1,0
30,3,2,2
34,2,1,0
38,1,0,1
39,2,4,0
22,8,3,2
38,2,2,0
47,1,1,0
48,1,3,0
33,2,0,0
30,3,2,0
37,2,2,0
43,2,1,0
37,1,0,0
37,4,2,0
42,3,2,0
40,0,0,0
43,4,1,0
40,3,1,0
52,1,1,0
39,5,0,1
40,1,2,0
29,2,3,0
40,0,1,0
44,3,0,0
28,1,2,0
31,2,0,1
32,1,1,0
42,3,0,0
35,0,4,0
38,3,0,0
32,11,3,1
39,1,0,0
37,2,3,0
29,1,1,0
33,2,1,0
33,3,2,0
31,0,1,1
36,5,0,0
36,1,1,0
41,1,3,0
42,2,1,0
34,1,0,0
34,0,0,1
39,1,2,1
31,0,0,0
40,1,1,0
30,1,6,1
27,1,0,0
27,1,1,1
47,2,4,0
31,0,2,0
39,1,2,0
38,1,1,0
47,3,2,0
39,1,1,0
40,1,0,1
21,1,2,0
42,2,2,0
37,0,1,0
35,6,0,0
34,1,1,0
42,2,1,0
42,4,1,0
44,4,2,0
39,2,4,2
35,1,2,0
40,2,3,0
24,2,4,0
40,5,1,0
33,3,2,0
36,2,2,0
38,3,1,1
31,2,4,0
40,3,1,0
39,4,3,0
32,1,3,0
30,1,1,0
29,2,1,0
36,3,2,2
32,4,1,1
39,4,0,1
30,14,0,2
42,2,0,2
48,1,1,0
47,0,0,1
43,4,1,0
33,3,1,1
49,2,1,0
42,2,2,0
50,2,2,1
33,1,3,0
33,1,8,0
33,2,2,0
34,0,0,0
33,2,0,0
31,1,3,0
30,10,0,1
28,1,2,0
26,17,0,0
20,1,1,0
25,1,4,0
34,1,1,0
29,3,0,0
33,2,4,0
36,14,1,0
39,1,2,1
34,2,2,0
34,2,2,0
25,3,0,0
33,0,2,0
29,3,2,1
31,2,1,0
36,1,11,2
36,1,1,0
40,1,4,0
30,3,2,1
36,2,0,1
36,2,0,0
39,1,1,2
30,1,1,0
38,2,0,0
23,12,0,2
32,2,1,0
33,2,2,0
29,4,2,1
29,2,4,0
39,4,2,1
34,5,3,0
35,0,0,0
48,3,2,0
30,3,1,1
27,2,1,1
37,0,1,1
26,19,2,0
41,3,2,0
32,0,1,2
24,0,11,0
41,9,1,0
37,0,2,0
34,1,0,1
31,4,2,0
24,12,1,2
29,3,2,0
28,3,0,1
28,13,1,1
34,1,1,0
32,1,14,1
41,1,2,0
37,1,0,0
47,0,1,0
45,2,3,1
37,3,2,1
37,2,1,0
40,2,9,0
41,3,4,1
28,4,3,0
34,1,1,0
33,3,2,0
28,2,2,0
29,1,21,0
35,0,1,0
39,1,0,0
38,2,3,0
32,1,1,0
36,1,2,0
33,0,1,0
40,3,3,0
30,0,1,1
29,0,2,0
39,2,2,0
39,2,2,0
45,5,1,0
35,2,2,0
35,1,1,0
37,2,1,0
46,3,2,1
35,3,1,0
25,0,2,0
29,1,7,0
22,1,2,1
34,0,4,1
30,1,2,0
28,1,0,0
39,1,4,0
31,1,1,0
33,1,1,1
36,1,1,1
41,3,2,0
42,1,2,0
46,1,1,0
42,1,2,0
45,0,2,0
29,2,3,0
41,2,2,0
24,4,4,0
35,0,1,0
44,3,2,0
37,2,1,0
34,1,4,1
40,1,1,0
30,3,4,2
38,2,1,1
36,4,3,0
27,15,1,1
39,1,2,0
36,1,3,0
37,1,2,0
38,3,1,2
26,1,4,0
37,1,1,3
45,1,1,0
40,3,1,0
45,1,4,0
33,1,0,0
49,2,1,1
41,2,4,0
34,2,1,0
33,1,3,0
33,2,0,0
37,4,2,0
37,2,1,0
42,3,3,0
39,1,0,0
39,1,3,0
37,2,4,0
36,0,3,0
45,6,1,0
39,1,3,0
27,1,1,0
46,0,2,0
39,2,2,1
39,2,0,0
37,1,2,1
36,2,1,1
38,2,1,0
41,1,2,0
34,4,4,0
40,1,2,1
28,4,2,1
39,4,3,0
37,0,1,0
51,1,4,0
25,11,2,1
46,3,2,1
36,1,3,1
29,6,1,0
39,3,2,0
31,1,1,0
28,4,2,0
32,2,1,1
36,1,1,1
40,2,0,0
41,1,4,1
32,0,2,1
31,2,1,0
32,4,2,1
34,1,3,1
45,2,2,1
35,1,2,0
34,3,1,0
31,2,2,0
53,1,0,0
37,1,2,0
30,2,1,1
44,0,4,0
28,2,5,0
32,3,2,0
35,3,3,1
37,0,6,0
35,2,1,0
32,0,0,0
37,1,0,0
32,0,2,0
36,2,1,0
42,0,2,0
35,1,2,0
32,1,0,1
44,1,2,0
44,1,1,0
44,0,0,1
36,3,3,1
37,1,1,0
38,0,1,0
34,4,5,0
39,0,2,0
32,2,4,1
34,2,2,0
36,0,1,0
27,3,0,0
27,0,2,0
36,0,3,0
25,2,1,0
34,2,2,0
38,1,3,0
53,0,2,1
37,3,1,0
35,1,0,0
29,1,0,0
25,2,1,0
39,2,0,0
38,2,2,0
44,3,2,1
35,2,3,0
35,0,3,0
39,1,2,0
33,1,0,0
21,17,0,1
37,1,1,0
42,3,1,0
53,2,2,1
38,3,0,0
33,0,0,0
30,2,2,1
34,0,2,0
39,4,4,1
30,5,3,0
40,3,1,0
28,1,5,1
27,3,3,0
37,1,3,0
38,1,1,0
34,2,3,0
38,5,3,0
32,1,4,1
35,1,1,0
32,2,1,0
